predictday,noaaID,Class,CV_average,NOAA_NUMS,MPlus,y_true
20230625,13345,N,0.026,1,0.0098,0
20230625,13339,C,0.218,1,0.183,0
20230625,13340,C,0.445,1,0.1784,0
20230625,13346,C,0.047,1,0.2159,0
20230625,13341,C,0.304,1,0.0282,0
20230626,13340,M,0.908,1,0.0537,1
20230626,13347,N,0.017,1,0.0036,0
20230626,13341,C,0.283,1,0.0602,0
20230626,13346,N,0.036,1,0.0017,0
20230626,13349,N,0.033,1,0.0033,0
20230626,13351,C,0.095,1,0.1959,0
20230626,13345,N,0.018,1,0.0012,0
20230627,13351,C,0.446,1,0.1495,0
20230627,13348,N,0.021,1,0.2445,0
20230627,13340,C,0.921,1,0.9185,0
20230627,13341,N,0.135,1,0.2164,0
20230627,13345,N,0.014,1,0.1357,0
20230628,13340,M,0.755,1,0.8270000000000001,1
20230628,13348,N,0.067,1,0.1496,0
20230628,13341,N,0.141,1,0.2262,0
20230628,13345,N,0.014,1,0.192,0
20230629,13348,C,0.019,1,0.2757,0
20230629,13341,N,0.215,1,0.0033,0
20230629,13345,C,0.017,1,0.0213,0
20230630,13355,N,0.049,1,0.0077,0
20230701,13355,N,0.032,1,0.0072,0
20230702,13355,N,0.018,1,0.0075,0
20230703,13355,N,0.024,1,0.02,0
20230705,13360,C,0.35,1,0.0208,0
20230706,13360,C,0.107,1,0.1499,0
20230707,13361,C,0.538,1,0.1606,0
20230707,13360,C,0.12,1,0.2055999999999999,0
20230708,13362,N,0.063,1,0.0026,0
20230708,13361,C,0.42,1,0.1277,0
20230708,13360,N,0.071,1,0.0155,0
20230709,13360,N,0.022,1,0.0023,0
20230709,13363,C,0.955,1,0.1096,0
20230709,13361,C,0.6,1,0.0134,0
20230709,13364,N,0.016,1,0.0203,0
20230709,13362,N,0.04,1,0.0091,0
20230710,13364,N,0.013,1,0.0158,0
20230710,13361,C,0.654,1,0.0915,0
20230710,13362,N,0.032,1,0.1351,0
20230710,13363,C,0.956,1,0.1803,0
20230710,13360,N,0.252,1,0.0024,0
20230711,13367,N,0.64,1,0.1917,0
20230711,13360,N,0.417,1,0.0139,0
20230711,13362,N,0.036,1,0.7101000000000001,0
20230711,13364,N,0.014,1,0.0161,0
20230711,13363,C,0.956,1,0.2502,0
20230711,13361,C,0.622,1,0.204,0
20230712,13362,N,0.033,1,0.2742,0
20230712,13361,M,0.697,1,0.245,1
20230712,13364,C,0.024,1,0.01,0
20230712,13367,N,0.771,1,0.0019,0
20230712,13363,N,0.954,1,0.0317,0
20230714,13364,N,0.016,1,0.0098999999999999,0
20230714,13362,N,0.014,1,0.1354,0
20230714,13363,M,0.958,1,0.1761,1
20230714,13372,C,0.894,1,0.6901,0
20230714,13367,N,0.868,1,0.0965,0
20230715,13372,M,0.92,1,0.0121999999999999,1
20230715,13362,N,0.014,1,0.0051,0
20230715,13363,M,0.953,1,0.997,1
20230716,13363,M,0.956,1,0.9865,1
20230716,13372,M,0.865,1,0.6523,1
20230717,13372,C,0.859,1,0.9955,0
20230717,13363,M,0.956,1,0.9971,1
20230717,13373,C,0.882,1,0.2526,0
20230717,13374,N,0.079,1,0.1718,0
20230718,13374,N,0.028,1,0.0264,0
20230718,13373,C,0.936,1,0.2029,0
20230718,13372,C,0.705,1,0.0187,0
20230719,13374,N,0.109,1,0.0285,0
20230719,13372,C,0.584,1,0.7536,0
20230719,13373,N,0.95,1,0.0153,0
20230722,13376,N,0.537,1,0.0017,0
20230722,13373,M,0.95,1,0.023,1
20230722,13379,N,0.728,1,0.1543999999999999,0
20230722,13372,M,0.693,1,0.0011,1
20230722,13377,N,0.185,1,0.0936999999999999,0
20230725,13376,M,0.827,1,0.0017,1
20230725,13379,N,0.449,1,0.0018,0
20230725,13377,N,0.221,1,0.0019,0
20230816,13403,C,0.554,1,0.0266,0
20230816,13397,N,0.239,1,0.002,0
20230817,13403,N,0.57,1,0.0223,0
20230817,13404,N,0.155,1,0.0139,0
20230817,13405,C,0.749,1,0.0021,0
20230818,13405,C,0.69,1,0.0038,0
20230818,13404,N,0.039,1,0.0121,0
20230819,13404,N,0.024,1,0.1746,0
20230820,13404,N,0.018,1,0.084,0
20230821,13412,N,0.107,1,0.0085,0
20230821,13404,N,0.024,1,0.0073,0
20230822,13412,N,0.081,1,0.0023,0
20230822,13404,N,0.059,1,0.0065,0
20230823,13404,N,0.115,1,0.0469,0
20230823,13412,N,0.047,1,0.0034,0
20230824,13414,N,0.016,1,0.0361,0
20230824,13413,C,0.893,1,0.0017,0
20230824,13412,N,0.029,1,0.0812,0
20230825,13412,N,0.03,1,0.1655,0
20230825,13415,M,0.563,1,0.0613,1
20230825,13413,N,0.92,1,0.0104,0
20230826,13415,N,0.531,1,0.0017,0
20230826,13412,N,0.04,1,0.0026,0
20230826,13413,C,0.796,1,0.002,0
20230827,13413,N,0.362,1,0.0006,0
20230827,13412,N,0.039,1,0.1682,0
20230827,13415,N,0.518,1,0.0836,0
20230828,13412,N,0.062,1,0.0095,0
20230828,13415,N,0.481,1,0.0144,0
20230828,13416,C,0.178,1,0.0037,0
20230828,13413,N,0.475,1,0.0019,0
20230829,13413,C,0.739,1,0.0052,0
20230829,13416,N,0.183,1,0.0056,0
20230829,13415,N,0.332,1,0.0385999999999999,0
20230829,13412,N,0.073,1,0.2561,0
20230830,13413,C,0.94,1,0.0011,0
20230830,13416,N,0.032,1,0.002,0
20230830,13415,C,0.296,1,0.1474,0
20230831,13415,N,0.257,1,0.0017,0
20230831,13417,N,0.805,1,0.0018,0
20230831,13413,C,0.95,1,0.0438,0
20230831,13416,N,0.021,1,0.0528,0
20230901,13416,N,0.017,1,0.0029,0
20230901,13415,N,0.442,1,0.0019,0
20230901,13417,N,0.656,1,0.0016,0
20230902,13416,N,0.016,1,0.0062,0
20230902,13417,N,0.417,1,0.0017,0
20230902,13415,N,0.451,1,0.0016,0
20230902,13418,N,0.073,1,0.1308,0
20230903,13418,N,0.028,1,0.1261999999999999,0
20230903,13417,C,0.254,1,0.0009,0
20230904,13417,N,0.13,1,0.0014,0
20230904,13418,C,0.194,1,0.0794,0
20230905,13417,N,0.106,1,0.002,0
20230906,13420,N,0.053,1,0.0582,0
20230906,13417,C,0.122,1,0.0167,0
20230907,13417,C,0.258,1,0.0121,0
20230907,13423,C,0.793,1,0.0016,0
20230907,13420,N,0.021,1,0.0846,0
20230908,13423,C,0.645,1,0.0019,0
20230908,13424,N,0.033,1,0.0079,0
20230909,13423,C,0.403,1,0.0054,0
20230910,13423,C,0.354,1,0.0279999999999999,0
20230911,13423,C,0.383,1,0.0293,0
20230912,13423,M,0.736,1,0.1425,1
20230912,13427,N,0.073,1,0.012,0
20230913,13431,N,0.692,1,0.0013,0
20230913,13430,N,0.082,1,0.0834999999999999,0
20230914,13431,N,0.192,1,0.001,0
20230914,13430,N,0.267,1,0.0364,0
20230915,13430,N,0.2,1,0.0584999999999999,0
20230915,13431,N,0.062,1,0.0715,0
20230915,13429,M,0.869,1,0.6962999999999999,1
20230915,13433,C,0.213,1,0.0011,0
20230916,13430,N,0.208,1,0.0019,0
20230916,13429,M,0.874,1,0.6647,1
20230916,13433,N,0.221,1,0.0039,0
20230917,13433,N,0.071,1,0.0083,0
20230919,13433,N,0.058,1,0.1957,0
20230920,13433,N,0.039,1,0.0006,0
20230920,13436,N,0.671,1,0.0029,0
20230921,13433,N,0.167,1,0.002,0
20230921,13440,N,0.239,1,0.0015,0
20230921,13437,N,0.708,1,0.0014,0
20230921,13439,N,0.391,1,0.0014,0
20230922,13440,N,0.355,1,0.0098999999999999,0
20230922,13441,N,0.471,1,0.0323,0
20230922,13437,C,0.502,1,0.0013,0
20230922,13439,N,0.276,1,0.0016,0
20230922,13433,N,0.236,1,0.0011,0
20230923,13441,N,0.351,1,0.002,0
20230923,13442,N,0.75,1,0.0282,0
20230923,13439,N,0.13,1,0.0017,0
20230924,13443,M,0.833,1,0.1506,1
20230924,13441,N,0.573,1,0.0152,0
20230924,13439,N,0.062,1,0.1586999999999999,0
20230925,13446,N,0.015,1,0.0022,0
20230925,13439,N,0.02,1,0.278,0
20230926,13439,N,0.025,1,0.1299,0
20230928,13448,N,0.518,1,0.0015,0
20230928,13447,N,0.439,1,0.0115,0
20230929,13449,C,0.111,1,0.001,0
20230929,13447,N,0.187,1,0.0027,0
20230929,13448,N,0.33,1,0.0063,0
20230930,13450,C,0.802,1,0.0726,0
20230930,13447,N,0.326,1,0.0043,0
20231001,13450,C,0.898,1,0.0401999999999999,0
20231001,13447,N,0.511,1,0.0008,0
20231002,13450,C,0.91,1,0.006,0
20231003,13450,C,0.69,1,0.0076,0
20231004,13450,C,0.458,1,0.1782,0
20231004,13454,N,0.166,1,0.0019,0
20231006,13454,N,0.259,1,0.0015,0
20231007,13454,C,0.232,1,0.2751,0
20231007,13457,N,0.032,1,0.0266,0
20231008,13454,N,0.134,1,0.1724,0
20231008,13457,N,0.028,1,0.1732,0
20231009,13459,N,0.135,1,0.005,0
20231009,13454,N,0.086,1,0.0557,0
20231009,13457,N,0.043,1,0.0721,0
20231010,13454,N,0.127,1,0.0060999999999999,0
20231010,13457,N,0.029,1,0.0554,0
20231010,13460,C,0.76,1,0.0013,0
20231011,13462,N,0.374,1,0.0771,0
20231011,13454,C,0.396,1,0.0016,0
20231013,13464,N,0.344,1,0.0285,0
20231013,13462,N,0.309,1,0.0028,0
20231013,13463,C,0.638,1,0.0004,0
20231014,13462,N,0.082,1,0.0063,0
20231014,13463,N,0.132,1,0.0109,0
20231014,13464,N,0.09,1,0.0008,0
20231014,13465,N,0.638,1,0.0022,0
20231015,13462,N,0.082,1,0.0033,0
20231015,13464,C,0.176,1,0.1459,0
20231015,13463,N,0.12,1,0.0558,0
20231015,13465,N,0.68,1,0.0132,0
20231016,13464,C,0.104,1,0.1364,0
20231016,13465,N,0.428,1,0.0097,0
20231016,13463,N,0.129,1,0.0356,0
20231017,13465,C,0.204,1,0.2285,0
20231017,13464,C,0.051,1,0.252,0
20231017,13467,N,0.049,1,0.0014,0
20231017,13463,C,0.076,1,0.0048,0
20231018,13465,N,0.081,1,0.0771,0
20231018,13464,N,0.081,1,0.0226,0
20231019,13465,C,0.067,1,0.0019,0
20231019,13468,N,0.376,1,0.0409,0
20231019,13464,N,0.144,1,0.0048,0
20231020,13468,N,0.275,1,0.0938,0
20231020,13465,N,0.07,1,0.1374,0
20231021,13465,N,0.065,1,0.1606,0
20231021,13468,N,0.124,1,0.0156,0
20231022,13468,N,0.051,1,0.0023,0
20231023,13468,C,0.049,1,0.0153,0
20231024,13470,N,0.086,1,0.0215,0
20231024,13468,N,0.066,1,0.0021,0
20231025,13471,N,0.039,1,0.0034999999999999,0
20231025,13468,N,0.046,1,0.2324,0
20231025,13470,N,0.04,1,0.0141999999999999,0
20231027,13471,N,0.287,1,0.012,0
20231028,13471,C,0.135,1,0.0016,0
20231029,13472,N,0.106,1,0.0034,0
20231029,13471,N,0.039,1,0.0016,0
20231030,13474,C,0.742,1,0.0013,0
20231030,13472,N,0.133,1,0.0031,0
20231101,13473,N,0.133,1,0.0017,0
20231101,13474,N,0.945,1,0.0709,0
20231101,13472,C,0.268,1,0.002,0
20231102,13472,N,0.367,1,0.0418,0
20231102,13474,M,0.907,1,0.0953,1
20231102,13473,C,0.074,1,0.0019,0
20231103,13472,N,0.454,1,0.0019,0
20231103,13474,N,0.903,1,0.002,0
20231103,13477,N,0.79,1,0.0037,0
20231103,13476,N,0.018,1,0.7620999999999999,0
20231103,13473,C,0.067,1,0.1863,0
20231104,13473,C,0.075,1,0.0018,0
20231104,13478,N,0.024,1,0.0034999999999999,0
20231104,13477,C,0.813,1,0.1338,0
20231104,13474,C,0.815,1,0.0263,0
20231105,13477,N,0.885,1,0.0511,0
20231105,13478,C,0.059,1,0.009,0
20231105,13479,N,0.06,1,0.0191,0
20231106,13479,N,0.027,1,0.1261999999999999,0
20231106,13477,C,0.888,1,0.0044,0
20231106,13480,C,0.791,1,0.0366,0
20231106,13478,N,0.023,1,0.0043,0
20231107,13479,C,0.024,1,0.0022,0
20231107,13477,C,0.848,1,0.0015,0
20231107,13480,C,0.459,1,0.0533999999999999,0
20231108,13480,N,0.159,1,0.0014,0
20231108,13482,N,0.013,1,0.004,0
20231108,13479,C,0.152,1,0.2528,0
20231108,13477,N,0.796,1,0.28,0
20231109,13480,C,0.099,1,0.0018,0
20231109,13477,C,0.656,1,0.1668,0
20231109,13482,N,0.015,1,0.0028,0
20231110,13483,C,0.38,1,0.0102,0
20231110,13482,N,0.014,1,0.0207,0
20231111,13483,C,0.776,1,0.0017,0
20231111,13481,N,0.031,1,0.0128,0
20231112,13481,N,0.053,1,0.0538999999999999,0
20231112,13483,N,0.757,1,0.0177,0
